Samples,BDO,VEL,SUB,BAL,TIS
OSO_01da,0,0,0,0,0
PAD_01da,0,0,0,0,0
PAD_02da,0,0,0,0,0
PAD_03da,0,0,0,0,0
PAD_04da,0,0,0,0,0
PAD_05da,0,0,0,0,0
PAD_06da,0,0,0,0,0
PAD_07da,0,0,0,0,0
PAD_08da,0,0,0,0,0
PAD_09da,0,0,0,0,0
PAR_01ta,0,0,0,0,0
PAT_01ta,0,0,0,0,0
PAT_02ta,0,0,0,0,0
PAT_03ta,0,0,0,0,0
PAT_04ta,0,0,0,0,0
PAT_05ta,0,0,0,0,0
PAT_06ta,0,0,0,0,0
PAT_07ta,0,0,0,0,0
PER_01ta,0,0,0,0,0
PER_02ta,0,0,0,0,0
PER_03ta,0,0,0,0,0
PER_04ta,0,0,0,0,0
PER_05ta,0,0,0,0,0
PER_06ta,0,0,0,0,0
PER_07ta,0,0,0,0,0
PER_08ta,0,0,0,0,0
PHD_01da,0,0,0,0,0
PHD_02da,0,0,0,0,0
PHD_03da,0,0,0,0,0
PHD_04da,0,0,0,0,0
PHD_05da,0,0,0,0,0
PHD_06da,0,0,0,0,0
PHD_07da,0,0,0,0,0
PHD_08da,0,0,0,0,0
PHT_01ta,0,0,0,0,0
PHT_02ta,0,0,0,0,0
PHT_03ta,0,0,0,0,0
PHT_04ta,0,0,0,0,0
PHT_05ta,0,0,0,0,0
PHT_06ta,0,0,0,0,0
PHT_07ta,0,0,0,0,0
PHT_08ta,0,0,0,0,0
PLJ_01da,0,0,0,0,0
PRE_01da,0,0,0,0,0
PRE_02da,0,0,0,0,0
PRE_03da,0,0,0,0,0
PRE_04da,0,0,0,0,0
PRE_05da,0,0,0,0,0
PRE_06da,0,0,0,0,0
PRE_07da,0,0,0,0,0
PRE_08da,0,0,0,0,0
PUP_01da,0,0,0,0,0
PVO_01ta,0,0,0,0,0
RFT_01ta,0,0,0,0,0
RFT_02ta,0,0,0,0,0
RFT_03ta,0,0,0,0,0
RFT_04ta,0,0,0,0,0
RFT_05ta,0,0,0,0,0
RFT_06ta,0,0,0,0,0
RFT_07ta,0,0,0,0,0
RFT_08ta,0,0,0,0,0
RFT_09ta,0,0,0,0,0
RFT_10ta,0,0,0,0,0
RFT_11ta,0,0,0,0,0
RZA_01da,0,0,0,0,0
RZA_02da,0,0,0,0,0
RZA_03da,0,0,0,0,0
RZA_04da,0,0,0,0,0
RZA_05da,0,0,0,0,0
RZA_06da,0,0,0,0,0
RZA_07da,0,0,0,0,0
RZA_08da,0,0,0,0,0
RZA_09da,0,0,0,0,0
SCH_01ta,0,0,0,0,0
SCH_02ta,0,0,0,0,0
SCH_03ta,0,0,0,0,0
SCH_04ta,0,0,0,0,0
SCH_05ta,0,0,0,0,0
SCH_06ta,0,0,0,0,0
SCH_07ta,0,0,0,0,0
SNO_01da,0,0,0,0,0
SNO_02da,0,0,0,0,0
SNO_03da,0,0,0,0,0
SNO_04da,0,0,0,0,0
SNO_05da,0,0,0,0,0
SNO_06da,0,0,0,0,0
SPI_01ta,0,0,0,0,0
SPI_02ta,0,0,0,0,0
SPI_03ta,0,0,0,0,0
SPI_04ta,0,0,0,0,0
